Agricultural Zone,Month,Week,Rainfall (mm),Mean Temp. (*C),RHmean (%),SShr (hrs),WD (deg),WS (Km/hr),label
Mymensingh,February,4,11.007775221987227,25.92443324732399,68.86018493434243,47.847549186535865,179.9732690639473,6.302729915073426,papaya
Mymensingh,February,4,11.89729739373638,26.043985702701743,69.51716857851241,47.329636823717564,180.29602777935068,6.271999314283803,papaya
Mymensingh,February,4,11.52265396677587,25.924404606978047,69.63649732009861,47.66519692032385,180.24873211808224,6.228616609625928,papaya
Dhaka,February,4,13.972680591464194,27.27982576258405,64.87244068928527,55.54302277335111,205.70550460528008,6.09686348556553,papaya
Bogra,February,4,2.261841804870657,26.4796821407416,63.33439238486051,58.29900043891118,204.6533493297022,6.6479304601336615,papaya
Barisal,February,4,14.47632165180153,27.48384682479007,74.01196102963142,52.060946674728434,209.59977110738652,6.307901744915516,papaya
Jashore,February,4,11.081687960209635,27.744385969992454,64.15286294851784,53.17537012650094,211.409234333398,4.421813043538826,papaya
Dinajpur,February,4,1.7180487351524196,25.292421823750484,61.877353277581,54.55288085293289,192.07827130438827,5.629466498514699,papaya
Dinajpur,February,4,1.641540198582716,25.138079823520616,60.678052300929195,55.133337827512534,195.56771684831452,5.636243182302299,papaya
Jashore,February,4,11.69083796970619,27.63695509323209,64.7391581506523,52.54973773497224,214.3299502765282,4.399945578188436,papaya
Barisal,February,4,14.284376227313738,27.67335524528994,73.660852709117,52.23638971207201,209.70688534233847,6.2704732325568715,papaya
Mymensingh,February,4,11.203413945722524,25.852945626890904,68.33117980954506,48.704649526659075,180.1940068144037,6.309403949462124,papaya
Jashore,February,4,12.11019819965872,27.820699273779287,64.06806406074996,53.435213945827925,211.38639090059095,4.485208330266433,papaya
Dhaka,February,4,13.16416658208888,27.298452113666368,63.71461263793196,55.67968919558462,205.80217897654464,6.232658356964794,papaya
Bogra,February,4,3.9552410810323675,26.486516764099125,63.8195671185669,57.67841116304512,203.4316712168299,6.620377094777567,papaya
Barisal,February,4,14.161867269348491,27.64544051381361,72.93227164284393,52.53665925579753,209.73127619622642,6.103456656052964,papaya
Dinajpur,February,4,1.9406176782090483,25.21737425616593,61.430825692266694,55.242651533880064,190.25551881438727,5.697926455505953,papaya
Barisal,February,4,13.699470828263106,27.380363530605713,73.14214959820015,52.417001485197716,208.7597747492956,6.1106997941181564,papaya
Bogra,February,4,3.2448588355391927,26.51536217987903,62.2517772578768,58.28348305185955,204.85018352920267,6.750036875756188,papaya
Dhaka,February,4,13.828837320846958,27.450381708363032,64.42683059815646,55.458537727071246,207.29744796427696,6.16607698639231,papaya
Dinajpur,February,4,2.74841437813126,25.19128258471595,61.11138280243217,54.82732298305044,192.86067041548296,5.541808584622226,papaya
Dhaka,February,4,13.829001896099394,27.24018807652408,63.3655703223038,54.95172869714959,207.36123285208544,6.18320386545246,papaya
Dhaka,February,4,14.210075868962457,27.403446788156412,64.27651655850778,54.513446184037555,204.84794378289592,6.180678351050675,papaya
Jashore,February,4,11.229937104613,27.671271555028582,64.50325802605158,53.027043227151786,212.67225165777637,4.262798236933839,papaya
Dhaka,February,4,14.22434617151296,27.244388628147004,64.0430541727595,54.89035175164407,205.90094961502894,6.122391037595104,papaya
Rajshahi,February,4,3.984353476558612,27.08710418533593,60.33257027559569,59.68416476470911,210.76072696432175,5.46415692702849,papaya
Dhaka,February,4,15.070001162791867,27.257801933009567,64.38692506025984,55.544406613707416,205.36342702410295,6.284157729615758,papaya
Rajshahi,February,4,4.045511624548087,27.030010689095025,60.00924515433503,58.97071999492475,209.56313444976493,5.536096882620918,papaya
Mymensingh,February,4,10.716676107163968,25.94946581051434,69.1138644748028,48.19366259085071,177.25470664361035,6.334748173891654,papaya
Dhaka,February,4,13.357814873298816,27.309527206390417,64.45752301539488,55.71860744100283,206.9716640974373,6.177319166118854,papaya
Bogra,February,4,3.3129132777151464,26.451123125412067,62.58177610649922,57.56348288339378,205.6391472920799,6.628100595899116,papaya
Barisal,February,4,14.312262137571638,27.66171420281426,72.99146629696617,52.20950305674922,211.1550886303471,6.357410612468788,papaya
Mymensingh,February,4,10.27684745925378,26.142710255534972,69.17131184478376,48.28538365727738,177.1767743044111,6.305627815776337,papaya
Barisal,February,4,13.796063773084722,27.47486104279553,73.44127390593637,51.83769971866213,210.64103647541768,6.183716434719233,papaya
Mymensingh,February,4,9.508227055010385,25.891318357767762,68.68165116750956,47.555980618619806,179.55120472970336,6.3739681732718205,papaya
Barisal,February,4,13.108858851913109,27.622473191723703,73.96811447580265,52.68807780092582,209.23134949672067,6.362633599543752,papaya
Dinajpur,February,4,2.2481757617978664,25.470912662721346,60.625225951894784,54.702770714656914,190.97733880119884,5.587511834349115,papaya
Jashore,February,4,11.696576839450946,27.74121324106269,63.59371683713804,52.88618722492665,214.58689823835869,4.469598780881979,papaya
Mymensingh,February,4,10.358016726787715,25.896349259628863,68.51644584323154,47.73725777629615,179.15218547121228,6.288269324440969,papaya
Barisal,February,4,14.273965394101262,27.644294217169218,73.36414783572154,52.57668737306385,210.66543614959545,6.527007809261094,papaya
Jashore,February,4,12.596765616763186,27.648417830081684,63.95043237671336,52.88075137092769,213.32542544907497,4.334254815963796,papaya
Dhaka,February,4,14.40110005335629,27.419230765289655,63.83479531087676,55.13160792753183,205.22020197287415,6.215776126744161,papaya
Dhaka,February,4,14.15210704309011,27.402681495052978,63.93810513783228,55.731383878144165,205.94514883054444,6.325420685251955,papaya
Dhaka,February,4,13.954845681983926,27.311789407219333,64.58452965167042,55.85149904819718,209.3982302165625,5.989531667251765,papaya
Sylhet,December,1,1.0324556242051435,21.194990283531403,72.97051515367842,55.51206642687562,177.15253368634822,4.0765965179978165,pineapple
Sylhet,December,1,0.9246995739270414,21.257341307202317,73.0873204658561,55.743454100208446,179.05218870980465,4.241818599092947,pineapple
Dhaka,December,1,2.027670238902887,21.40752329314911,71.32493865524764,47.468728487104705,218.95360493593515,3.5314076300494275,pineapple
Chittagonj,December,1,0.9495019528463382,22.829225447961267,71.96594328364472,54.86169909107071,202.94145346353,5.1252370753467975,pineapple
Rangamati,December,1,-0.07809493244341971,22.313708401609826,75.72213134177623,52.91659338562706,169.41616056166302,3.7112429261779445,pineapple
Chittagonj,December,1,1.060182707771316,22.88172919545662,71.75709701098397,54.54801120743054,203.48567496169525,5.201419185211165,pineapple
Mymensingh,December,1,1.0730947435722689,21.271956476111246,73.99598898727776,49.48945705048811,189.12727368768284,3.0499222832154396,pineapple
Sylhet,December,1,0.986482011075438,21.137415313012536,72.62958972784298,55.068493949106184,180.26818450322983,4.137034447482268,pineapple
Rangamati,December,1,-0.029668161212657043,22.4514869498744,75.67365257165221,52.86107511566463,171.9929324547167,3.6598901992812496,pineapple
Dhaka,December,1,2.092088744535844,21.624918007447736,71.28007490817231,47.80060307808141,225.15433548401808,3.792056560033695,pineapple
Mymensingh,December,1,1.004578924472191,21.245773282659034,73.7438622848584,49.044817051912084,192.56155552015366,2.9560454044713653,pineapple
Dhaka,December,1,2.016088861835956,21.5530747681529,70.90066241323234,47.77469290603612,220.39714675598185,3.7042696225080602,pineapple
Rangamati,December,1,0.05062382846607026,22.34487540665215,75.74267670265372,53.422465415070036,165.0981738693268,3.5481526967428723,pineapple
Rangamati,December,1,0.022129542587006352,22.131390884200478,76.07966512657137,53.17606545665422,170.09771826489518,3.6715265515791673,pineapple
Chittagonj,December,1,0.9747025347461354,22.85082825909407,71.94659964202665,54.91226469144724,202.1193543387047,5.167286434889838,pineapple
Sylhet,December,1,1.055225327475796,21.073492073330033,73.14077398650919,55.60846257136486,179.31056647719788,4.169720815245624,pineapple
Mymensingh,December,1,0.9372561177894666,21.22904083608048,73.84848289490793,49.32273087453247,192.02242787640648,2.8603527060178933,pineapple
Dhaka,December,1,1.9987142539823628,21.401009903076957,71.2250611785274,47.70280339576713,216.81303138791105,3.623513063609765,pineapple
Rangamati,December,1,-0.07383133462843416,22.18151467539286,75.77351874752715,53.00002165711332,166.68315091076192,3.7827512944718134,pineapple
Mymensingh,December,1,0.942432449925863,21.32519818722665,73.92847456202031,49.3010464602573,194.74359611967756,3.0696854362592076,pineapple
Dhaka,December,1,1.9999032122738405,21.60278724114063,71.2666272203749,47.5244847171307,218.62273222952297,3.6157214582392556,pineapple
Mymensingh,December,1,1.1317657013002345,21.334908574061455,73.57351632444434,48.883261816472015,191.2378279709308,2.964394288049857,pineapple
Rangamati,December,1,0.027993636791827172,22.32747303134411,75.85903131556678,52.93086583361941,168.9055106986431,3.6385878626323125,pineapple
Chittagonj,December,1,1.0322436557051373,22.822715292210777,71.92889546227997,54.35743670997745,204.85895831750295,4.991389740652322,pineapple
Mymensingh,December,1,0.987062996671284,21.22552420961539,73.62523478839265,49.143172155798204,191.12443295512318,3.0795872659727124,pineapple
Dhaka,December,1,2.050027030164714,21.504089582157423,71.14326301294754,47.645009251354075,216.43579807319165,3.5762267506085847,pineapple
Chittagonj,December,1,1.0231107062190639,22.933419325938782,71.75300387089393,55.08983667606039,203.85356994726013,5.073824147494565,pineapple
Dhaka,December,1,2.0881729092356904,21.530887210381437,71.22190994432675,46.76104996106266,220.0556920842286,3.7803867034478875,pineapple
Dhaka,December,1,2.0728316054207983,21.599090453337233,71.41983757838638,47.26015894012245,219.14318887974432,3.6895238546044657,pineapple
Rangamati,December,1,-0.05479964612540831,22.2691018787814,75.767482370772,52.950987859072,171.8989833863419,3.6060117389082267,pineapple
Rangamati,December,1,0.06082183240609633,22.291916472736368,75.72953520310367,53.397312797165114,168.37106551749798,3.621420825426572,pineapple
Chittagonj,December,1,1.0290506011708374,22.846217575694187,72.06579584931264,55.26817066673573,203.31133868011452,5.151664558170982,pineapple
Dhaka,December,1,1.927242479023398,21.468466745477706,70.94619754274403,47.70363997403638,218.33025037833048,3.7243069833261386,pineapple
Rangamati,December,1,0.005792957250223757,22.190317167568207,76.0446628513271,53.02442360188019,171.65803219138598,3.718411389080905,pineapple
Sylhet,December,1,1.0060749560989348,20.936539092703065,72.89361540824785,56.44042946591377,175.54481869630342,4.324827006052541,pineapple
Dhaka,December,1,1.984293918174591,21.45934402375877,71.22506037513381,47.17825282286297,220.06281455929522,3.5604807898697826,pineapple
Rangamati,December,1,-0.13232831031280531,22.27767485194047,75.74534191786252,53.807861591533836,165.26872339799812,3.729894829654728,pineapple
Sylhet,December,1,1.0183277350470974,21.15070054988219,73.13354115569838,55.30167331852656,179.26470547551608,4.183667860756797,pineapple
Sylhet,December,1,1.1270492944101809,21.094596396154337,73.21390576994038,55.869545588189276,176.0187810544638,4.155760943463994,pineapple
Rangamati,December,1,0.0805917837573448,22.202378059046687,75.71841797757892,52.61775713046421,172.30984708895127,3.755856647454592,pineapple
Mymensingh,December,1,1.0222498595579397,21.255809944389515,73.6139602296874,49.09547735526742,190.9916323790132,3.020022821085047,pineapple
Dhaka,December,1,2.0499719179235236,21.431038734566826,71.30806639731364,47.382982068848484,218.71008033488792,3.8199195270885182,pineapple
Chittagonj,December,1,1.0930931224386833,22.68122479853658,72.02500915105963,55.490377653648494,206.9397090877597,5.098951757716789,pineapple
Sylhet,December,1,0.8843757758370401,21.20298377248484,73.09842508877327,55.83907611352951,178.8046779921195,4.3630861108474015,pineapple
Sylhet,December,1,1.002336260529202,21.10585805738636,72.90110165216771,54.96750629769671,175.14498225851906,4.332403248720543,pineapple
Dhaka,December,1,1.9356454836247277,21.495653580515476,71.16889930817949,47.485398238250376,216.76842215605544,3.6946659768916805,pineapple
Mymensingh,December,1,1.1065957079743824,21.285036183374725,73.53696044578298,48.918410559276154,190.04500963477406,2.9742225724282796,pineapple
Mymensingh,December,1,0.9222339563632549,21.23944056869113,73.43837505102016,49.20777078409675,194.70077335231818,2.899604101608909,pineapple
Rangamati,December,1,-0.054823482775708775,22.33523131217833,75.59733495161343,53.24196181470668,167.30965016735175,3.6599117306019635,pineapple
Sylhet,December,1,1.0219909545028627,21.172302216989685,73.02531837258333,55.591008460710846,177.1065239748676,4.014193727588896,pineapple
Chittagonj,December,1,1.0062683857050516,22.880037688411704,71.52270003924939,54.36826106324899,205.5500118926581,5.1614723756656264,pineapple
Sylhet,December,1,1.0224297634280735,21.011185629794728,73.32862974070395,56.04027423837402,176.51634188210124,4.169629506431816,pineapple
Chittagonj,December,1,1.1106679088796363,22.923596244282884,71.77934203710878,55.08717443999017,206.56317210164747,5.104094739360089,pineapple
Mymensingh,December,1,1.0889872712603585,21.465855222963476,73.62472599915274,49.011397422021005,188.6526128980229,2.948797160222414,pineapple
Dhaka,December,1,1.9825944443635242,21.576470546560028,71.07155744278624,47.90231384028784,216.40885866831792,3.7972343486662794,pineapple
Mymensingh,December,1,0.9910086793140563,21.29629165269697,74.15264402425557,48.994347146236436,190.91776685144484,3.1215954740508898,pineapple
Mymensingh,December,1,1.0364220997896165,21.385716479730043,73.56139947245639,48.81638332729342,195.09207848019872,2.888861313920433,pineapple
Rangamati,December,1,0.10111209154981066,22.179767051184754,75.87901094190737,53.15435655423256,168.40788098977123,3.670490160996086,pineapple
Dhaka,December,1,2.096425087680663,21.544246941291686,70.82631201321023,47.73136022911953,219.67388996341086,3.844793598062257,pineapple
Rangamati,December,1,0.08063436935390454,22.272024152234753,75.49078885941165,53.13645215510114,167.8932219783362,3.7569228837081368,pineapple
Mymensingh,December,1,0.9633680073486968,21.211622668086363,73.51758551856383,48.37856025369811,187.48116917900194,3.082921288943442,pineapple
Rangamati,December,1,-0.03246663204407199,22.447520654872214,76.09289233221827,53.47368991451797,167.5113050684045,3.703330356554274,pineapple
Dhaka,December,1,1.922420160915157,21.363882632784247,71.0843623755592,47.13712007466756,221.15594733165676,3.6376547347222017,pineapple
Mymensingh,December,1,0.9888128687784047,21.2691294118633,74.00337087318744,49.13679036690003,190.1859140874958,3.0703913536014498,pineapple
Rangamati,December,1,-0.08181793550864269,22.242283237027582,75.99443056014694,53.46724794234743,165.5410324629295,3.5693371624746524,pineapple
Dhaka,December,1,1.9833752911944893,21.567791546167594,71.27795444555555,47.09920958810833,218.2161473534464,3.844862075844853,pineapple
Sylhet,December,1,1.1661311999487445,21.108127461476435,72.88493201057122,54.97585297752151,175.68523949792495,4.214836161345317,pineapple
Chittagonj,December,1,1.0995286689220407,22.773800100048014,71.93408743367839,55.309468380760755,203.12678145938628,5.214723509501157,pineapple
Sylhet,December,1,1.0439553820969953,21.176030398119234,73.00080428019851,55.22481205178073,177.0076982654534,4.219322064165728,pineapple
Chittagonj,December,1,0.9635248603004304,22.84012588462801,71.79615129781413,54.75168795475234,203.90491664280262,5.057511122197206,pineapple
Dhaka,December,1,1.9583125517372377,21.51867103641374,70.9524014569985,47.47882900086683,217.3258129898222,3.732999339516826,pineapple
Rangamati,December,1,0.06850138725254035,22.307843237408207,75.99445535790166,52.9778823568679,172.1755065007508,3.70001138550754,pineapple
Mymensingh,December,1,0.9864354113423977,21.33313149352149,73.93236212366075,49.57006087508108,189.95719152161354,3.018603538190388,pineapple
Dhaka,December,1,2.0855329932173827,21.561545605457876,71.24657417779555,47.521188191243,220.85194292174546,3.6683706934800764,pineapple
Chittagonj,December,1,0.9189505588111724,22.743040812078856,72.19007082917592,54.683402473072896,198.45306370782754,5.194823463800335,pineapple
Dhaka,December,1,2.0325932382540515,21.548323278810162,71.21509107835755,46.42273496642244,221.46722699858657,3.627656386869708,pineapple
Mymensingh,December,1,1.0636126600070528,21.29927560580665,73.70787405772988,48.52119247056297,191.56584752585294,3.092797454773671,pineapple
Sylhet,December,1,1.130106618540749,20.988087460715033,73.00940613895489,54.896202113763856,176.359450276554,4.249816316247425,pineapple
Sylhet,December,1,0.8473312139815379,21.088944506579892,72.94575367552164,55.26780720770417,175.8897993248852,4.170160561661112,pineapple
Mymensingh,December,1,0.968367367981957,21.243901865524634,73.83441359983667,48.91219579361941,189.96873834441757,3.1858564888285152,pineapple
Sylhet,December,1,1.2168107272091542,21.11030159406667,72.93266429701184,55.83420463926613,176.13489101534458,4.274146522137859,pineapple
Mymensingh,December,1,0.9100031462899237,21.321304321679463,73.73708191356901,49.53083183241961,192.0982002627396,2.7682576980170657,pineapple
Rangamati,December,1,-0.051748805478335276,22.212271495851265,75.6213533831607,52.82337864216955,167.4453924552687,3.789073119304682,pineapple
Dhaka,December,1,2.0675738519343207,21.537054578481893,70.97804355059532,47.60221056738162,217.91202758921,3.762180593295504,pineapple
Sylhet,December,1,1.0570181587702816,21.05598191358174,73.108541503598,56.07415166155907,175.56339419004382,4.2135398070085746,pineapple
Mymensingh,November,1,4.038052410495485,25.898188024530636,79.07887936173482,50.54285749004666,184.60670349027174,3.7473036062543117,robi green chilli 
Mymensingh,November,1,2.7833921123917733,25.776217390065163,77.81958186340869,50.70242728473533,187.52578513401875,3.809394380851323,robi green chilli 
Chittagonj,December,1,4.163751280026993,23.27456306836753,71.52754109259135,55.40217184138698,205.96868702272542,5.17754419854375,robi green chilli 
Chittagonj,December,1,-1.3549956334176918,22.46007400746364,71.10850734809253,54.74996907999551,203.44328777891272,5.0952324376527365,robi green chilli 
Barisal,November,1,12.187405786021737,16.898931409229284,74.87156511087193,53.300459081316966,176.47507747143672,4.114283796897988,robi green chilli 
Mymensingh,November,1,8.379356394116277,25.855863307968427,77.62971395803861,51.22159937544304,184.14325455334955,3.7092279115256717,robi green chilli 
Sylhet,December,1,-1.1720282137964009,20.287238614322224,72.59036024674599,55.49741927379649,176.6521120173872,4.172685276080761,robi green chilli 
Barisal,November,1,12.168791961636458,16.48279228798607,74.91199465596658,53.34585620071554,172.5708023567057,4.098592556769603,robi green chilli 
Rangpur,December,1,0.004255345592068399,21.505168182118357,71.29725055248367,53.331721151961546,219.10783910517117,3.746374147631345,robi green chilli 
Cumilla,October,1,50.540503961057276,28.38762868851141,82.95914294275296,39.53977730541538,204.14754190510692,4.61901895301763,robi green chilli 
Mymensingh,November,1,7.89502576158494,26.050643383850613,77.56228894441912,51.87701584927735,187.69473806519937,3.7268273189233874,robi green chilli 
Faridpur,January,1,-3.8071865850104034,18.499685156297684,74.13006778433305,40.86806343747293,190.1362583985239,3.387355453729355,robi green chilli 
Faridpur,January,1,1.7816549288300294,18.101878786505086,72.95750117294381,41.27093218026676,184.15901943214962,3.4120194441378757,robi green chilli 
Bogra,December,1,-3.092104774815725,21.271367130283494,70.84637787102945,53.559823713528786,222.6281741950854,3.707166831099283,robi green chilli 
Jashore,October,1,43.97972961157649,28.830411544126722,81.82622804574493,39.66125344533942,191.946435622796,2.9807067072665525,robi green chilli 
Dinajpur,October,1,1.7987483569788176,20.033397979763883,72.44342243865964,47.82034155702439,185.25574843054522,2.71628183440464,robi green chilli 
Cumilla,October,1,54.334219933573436,29.32115376227914,82.31176505448158,39.60988172362685,200.04411778498118,4.529201990177668,robi green chilli 
Dinajpur,October,1,0.3948064731706537,20.55105702685898,72.40696391352283,47.31594299301121,181.91364939714572,2.5936001349117164,robi green chilli 
Rajshahi,November,1,5.6645628053572015,27.052257557189616,77.74453883868391,53.22165417494891,147.637086968374,3.9220625424843663,robi green chilli 
Barisal,November,1,13.34368879006852,15.146370846144965,74.95191468631837,53.279326758090455,174.79268687266293,4.1424450592171045,robi green chilli 
Dinajpur,October,1,-1.5369681684623988,21.031684337936454,72.90666060555647,48.02996514200558,181.499696828185,2.66560242213249,robi green chilli 
Bogra,December,1,0.3223162451992235,20.843626023844262,70.87100607046247,53.621683404012146,224.43173151028412,3.716604825415141,robi green chilli 
Sylhet,December,1,-0.6384324241771611,20.727355723422153,73.17395973241004,54.99231830261005,176.0387857293216,4.19346664604185,robi green chilli 
Rajshahi,November,1,6.853379322454999,28.232234376957432,78.45694018964609,52.60665411003207,145.78416705901736,3.905097425394928,robi green chilli 
Dinajpur,October,1,0.01838225661428567,20.661264500782583,72.27098263718572,47.834427557280385,184.53793247100208,2.5270989314326955,robi green chilli 
Dinajpur,October,1,0.681901618661745,19.572164799233292,72.001895540942,48.024722482628185,185.4980756577086,2.6574530293774847,robi green chilli 
Rangpur,December,1,-3.195493920067986,21.65467054802614,70.258258408201,54.4404049335178,221.51904915488433,3.673044791901057,robi green chilli 
Barisal,November,1,13.63086738490133,15.076536635866619,73.76374823407458,53.15864209529337,179.26002001473313,4.119882713657615,robi green chilli 
Barisal,November,1,14.242607845742127,16.352908443245777,74.9575533604779,53.76346307044868,180.64272529440925,4.101840028385365,robi green chilli 
Rangpur,December,1,-3.2943135841695317,21.80721419860616,71.12920105642445,53.86340096719198,221.88636289160104,3.680949685418649,robi green chilli 
Dinajpur,October,1,-1.0755044219577212,20.420360914317477,72.0740410551704,47.50528486795896,184.2040841244951,2.6084066114653783,robi green chilli 
Chittagonj,December,1,1.985934013761392,22.53094656741743,71.97405233373291,54.53937546634988,203.37858208152795,5.045471315175317,robi green chilli 
Dinajpur,October,1,-3.775198261750129,19.63289654105866,72.56681431591448,48.3670666925886,187.72948434863247,2.556454265034908,robi green chilli 
Faridpur,January,1,-1.5030268491940069,18.499713679983696,74.39394799197194,42.19590886392472,194.3422406825106,3.313988845998925,robi green chilli 
Cumilla,October,1,53.434853078192994,29.305689981941104,82.98367201779288,38.88279694087897,200.9145402255732,4.484945401964348,robi green chilli 
Jashore,October,1,44.26334945332993,29.55224483581722,82.33233709790531,40.13773240573929,195.07931252824582,3.0465751211471446,robi green chilli 
Faridpur,January,1,-0.9550547226193187,18.222585386894234,74.43174947901245,41.4353679477876,188.26859604051657,3.4286035754296726,robi green chilli 
Jashore,October,1,46.36020510004585,29.01043315596862,81.84938447422218,39.79349041763521,196.69180402557498,3.0818958097844185,robi green chilli 
Chittagonj,December,1,-0.01133312595867153,23.003558603927125,71.68674580078793,55.90171241850254,204.46299989111776,5.034792000212714,robi green chilli 
Rajshahi,November,1,8.481009077228304,27.993783335289145,78.97216453953905,53.30150718612352,149.372331037409,3.800296713466735,robi green chilli 
Faridpur,January,1,-1.3017373118250852,17.748926303557734,74.46454465661033,42.12477049808637,189.64570768673516,3.465241919891295,robi green chilli 
Mymensingh,November,1,6.485729287711926,25.699297850603234,78.0690724823489,51.314033559544086,183.01245463832566,3.7109245862404143,robi green chilli 
Rangpur,December,1,2.1055885484401995,21.354493645705855,71.34889403090388,54.05991171569845,223.1063815801414,3.7425634268006833,robi green chilli 
Dinajpur,October,1,-2.24344708367884,20.123433745999378,72.65869219834077,47.98002131443725,179.6316608157626,2.5478322413337464,robi green chilli 
Rangpur,December,1,-4.567079793629621,21.01097648030075,71.05654336695608,53.52259699613274,219.26128672469113,3.702770327188311,robi green chilli 
Jashore,October,1,44.66680432928094,28.964636466734326,81.23272258072512,39.89853703578153,194.5705086368863,3.2305993809456908,robi green chilli 
Bogra,December,1,-0.26429801487065824,21.421784885081685,70.99323030991451,53.667323646864105,221.78748015448957,3.573890994548889,robi green chilli 
Mymensingh,November,1,7.0099775665004085,25.4146700673892,78.13147763837239,50.88892701132124,185.73991362751798,3.5955130418796712,robi green chilli 
Cumilla,October,1,54.07909227556066,29.659330139625084,82.43198238475999,37.83697803887527,199.76477238660505,4.698684176874313,robi green chilli 
Jashore,October,1,48.80517711406703,29.617697844701283,82.26266982993522,40.878310706326694,195.5806841669814,3.1180042280479143,robi green chilli 
Faridpur,January,1,0.6869117522122354,18.58960450169483,73.11871404718343,41.416929723509696,188.6272528070504,3.369326833598617,robi green chilli 
Faridpur,January,1,0.25128648488789984,18.417619075407778,73.9055728127787,41.11740083979136,191.60225053263608,3.423955540819922,robi green chilli 
Cumilla,October,1,52.10870690323474,29.21619291532979,83.63021477650997,38.55801856177946,199.20227264535018,4.6773087067797965,robi green chilli 
Cumilla,October,1,51.54426983184767,28.876093118576648,83.63789520715972,37.89190099935914,200.39642822514458,4.5648197699236395,robi green chilli 
Sylhet,December,1,-3.1813064016771113,21.702980115670837,72.76447135241214,55.09048086736336,174.291044437521,4.167205917446813,robi green chilli 
Bogra,December,1,-1.563218721813625,21.600311548265708,71.4286313396235,53.09920813567271,222.45542589027932,3.703783719761013,robi green chilli 
Mymensingh,November,1,8.440581330927108,26.121311635596843,77.80195681268754,50.49075456698217,184.59790251464958,3.8295071818852984,robi green chilli 
Faridpur,January,1,2.317418873314365,18.768613651892334,74.22893945752747,40.85631247077494,190.35662892293416,3.395142206206622,robi green chilli 
Chittagonj,December,1,1.5722362349835448,22.24630856574188,72.11808681712725,55.35585525757085,205.31101817885323,5.025380523462921,robi green chilli 
Mymensingh,November,1,7.813809370323496,25.431661527885478,77.83889601074937,50.97826002902848,184.47575722503302,3.7719979743118315,robi green chilli 
Barisal,November,1,12.864057732470092,15.882181334998775,75.01125443405547,53.76470414449301,170.5703482762905,4.095909581556745,robi green chilli 
Cumilla,October,1,48.46940250109152,29.0967266247997,82.19210789755682,39.39215305946029,203.9569096012283,4.656817549818649,robi green chilli 
Rangpur,December,1,-1.6784359229845645,21.68461273065366,71.83211464740906,54.10018225890933,221.54243894242387,3.775040798504908,robi green chilli 
Mymensingh,November,1,3.7172648664116443,25.245094695220224,78.34516098142569,51.94586724183263,190.48400888979106,3.786959960607022,robi green chilli 
Cumilla,October,1,52.338019640397405,28.6966165373806,82.6950034436227,38.88396689100078,200.72461935086338,4.532740504917625,robi green chilli 
Rajshahi,November,1,5.699089345225875,27.375562523444984,77.98369042327835,52.942229676008715,147.84199708066902,4.055583714382579,robi green chilli 
Faridpur,January,1,-1.0384423829906206,18.176597780284265,73.5979007457667,41.36389468405136,190.11026118396802,3.4264068868070816,robi green chilli 
Dinajpur,October,1,0.8255014439427448,20.902193136213626,72.40335445285244,47.116314934426576,181.3168330275253,2.7188563921286297,robi green chilli 
Cumilla,October,1,52.29179333370738,28.884059050119255,82.71602651747862,37.763303834839164,199.52231133405633,4.52156690755593,robi green chilli 
Dinajpur,October,1,-1.7543953006281732,21.05238183465708,71.76261767798576,47.065663138040144,182.08767026884354,2.5635101151470914,robi green chilli 
Faridpur,January,1,0.7684246380864166,18.07257774362537,74.91622194523724,42.030715067760525,189.30770477995782,3.448771881493178,robi green chilli 
Sylhet,December,1,-0.4424240405468364,20.554256326998438,73.59213780005035,55.32970299667746,175.22340135644777,4.30413394074109,robi green chilli 
Chittagonj,December,1,0.013932860459947793,23.626117469965735,71.48756421584059,53.146235744794474,203.4719747970097,4.901103093315531,robi green chilli 
Faridpur,January,1,-0.5901567596751385,19.19460993415154,73.74455558036108,41.711647290854025,192.5131863146165,3.4603400751239843,robi green chilli 
Sylhet,December,1,0.29031674570838906,21.951401673574107,72.70106323121168,56.1466617557857,175.30902179197076,4.273945793688578,robi green chilli 
Barisal,November,1,13.643392079798659,15.81966581961851,74.80921767838709,53.50093488286076,176.476687281904,4.044984531148748,robi green chilli 
Dinajpur,October,1,0.29412080097579524,20.103900118931847,72.04491358784121,47.68074251129194,185.0448480866343,2.5955479342298107,robi green chilli 
Faridpur,January,1,-2.0964214192669255,18.230419144017347,73.28198471904528,41.59725223914648,190.38197077520806,3.359931768874934,robi green chilli 
Bogra,December,1,1.2808057905117607,21.52667963313478,71.03776583766484,55.03077619660407,222.5593024427877,3.7226504994055913,robi green chilli 
Jashore,October,1,45.19741470142892,29.10828398656171,81.51824815529343,40.952154448505105,195.19325883249675,3.096329486301182,robi lau (gourd)
Cumilla,September,1,50.84162687555262,28.81969030752974,84.40385551137217,31.416187878563914,189.931850425735,5.234441269946283,robi lau (gourd)
Rajshahi,October,1,42.66666194027609,28.668782476089046,81.54065349929822,46.496089704454704,144.44607208479005,4.832830306772649,robi lau (gourd)
Khulna,November,1,46.37804785277034,26.376419105013724,76.77044378988829,49.17420531719297,171.5647780017149,3.2824881363027654,robi lau (gourd)
Mymensingh,August,1,69.41610772239916,29.16259511696544,84.6683996083033,33.57448560213753,155.00705636179677,6.073564312864158,robi lau (gourd)
